sample_id;timestamp;gpuPower;total_instr;total_cpu_time_s
0;4294967.4960000003;153;223941865;0.27100000000000002
1;4294967.6969999997;153;233653662;0.26699999999999996
2;4294967.898;153;329457890;0.28600000000000003
3;4294968.0990000004;153;108277339;0.082000000000000003
4;4294968.2999999998;153;98515471;0.055
5;4294968.5;153;94259610;0.060999999999999999
6;4294968.7010000004;153;100420243;0.044999999999999998
7;4294968.9019999998;153;99254409;0.057000000000000002
8;4294969.1030000001;153;105669506;0.063
9;4294969.3039999995;153;90632204;0.050000000000000003
10;4294969.5049999999;153;100630628;0.048000000000000001
11;4294969.7060000002;153;95738669;0.050000000000000003
12;4294969.9060000004;153;99871358;0.055999999999999994
13;4294970.1069999998;153;97003687;0.062999999999999987
14;4294970.3080000002;153;92598673;0.053999999999999999
15;4294970.5089999996;153;95191241;0.055000000000000007
16;4294970.71;153;155769258;0.14000000000000001
17;4294970.9110000003;153;256660026;0.20699999999999999
18;4294971.1109999996;153;342877827;0.32800000000000007
19;4294971.3119999999;153;270429818;0.32400000000000001
20;4294971.5130000003;153;259711628;0.26100000000000001
21;4294971.7139999997;153;212387442;0.251
22;4294971.9139999999;165.41935483870967;283718877;0.27300000000000002
23;4294972.1150000002;155.48387096774192;227315027;0.23800000000000002
24;4294972.3159999996;153;153099984;0.14500000000000002
25;4294972.517;153;429757940;0.43400000000000005
26;4294972.7180000003;153;471053062;0.53100000000000003
27;4294972.9189999998;153;522096324;0.64800000000000013
28;4294973.1200000001;153;493679410;0.57400000000000007
29;4294973.3210000005;153;511848341;0.45599999999999991
30;4294973.5219999999;153;575918486;0.57400000000000007
31;4294973.7230000002;153;512185974;0.67400000000000004
32;4294973.9239999996;153;450350310;0.57900000000000007
33;4294974.1260000002;153;467191145;0.48699999999999993
34;4294974.3269999996;153;607754641;0.65900000000000014
35;4294974.5279999999;153;500653535;0.56100000000000005
36;4294974.7290000003;153;465512648;0.57100000000000006
37;4294974.9299999997;153;429789065;0.45999999999999991
38;4294975.1310000001;153;454118519;0.58500000000000008
39;4294975.3320000004;153;550404279;0.67600000000000016
40;4294975.5329999998;153;620414031;0.56600000000000006
41;4294975.7340000002;153;423691797;0.46799999999999992
42;4294975.9349999996;153;466164659;0.56900000000000006
43;4294976.1359999999;153;587460757;0.66700000000000015
44;4294976.3370000003;153;451471669;0.57100000000000006
45;4294976.5379999997;153;551410367;0.55900000000000005
46;4294976.7390000001;153;505656892;0.47199999999999992
47;4294976.9400000004;153;588170726;0.66700000000000015
48;4294977.1409999998;153;351466072;0.46899999999999992
49;4294977.3420000002;153;441244790;0.57200000000000006
50;4294977.5429999996;153;552158238;0.54800000000000015
51;4294977.7439999999;153;554338667;0.65400000000000014
52;4294977.9450000003;153;442865811;0.45999999999999991
53;4294978.1459999997;153;458984228;0.57800000000000007
54;4294978.3480000002;153;557958054;0.66400000000000003
55;4294978.5489999996;153;448989825;0.55700000000000005
56;4294978.75;153;397136082;0.52000000000000002
57;4294978.9510000004;153;560977693;0.50600000000000001
58;4294979.1519999998;153;613719679;0.67400000000000015
59;4294979.3530000001;153;494389746;0.55500000000000005
60;4294979.5539999995;153;457691964;0.55400000000000005
61;4294979.7549999999;153;394350635;0.45799999999999991
62;4294979.9560000002;153;446932712;0.55300000000000005
63;4294980.1569999997;163.26666666666668;704830676;0.67300000000000015
64;4294980.358;190.25806451612902;406961971;0.46399999999999991
65;4294980.5590000004;155.56666666666666;453379735;0.56500000000000006
